"filename", "language", "Batch", "PowerShell", "Properties", "C++", "Python", "HTML", "Markdown", "Visual Basic", "XSL", "JavaScript", "reStructuredText", "CSS", "JSON", "Shell Script", "C", "XML", "Ini", "Lua", "comment", "blank", "total"
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\_blit_info.h", "C++", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -22
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\_camera.h", "C++", 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -4, -27
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\_pygame.h", "C++", 0, 0, 0, -244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -88, -43, -375
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\_surface.h", "C++", 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -22, -4, -31
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\camera.h", "C++", 0, 0, 0, -173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -26, -20, -219
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\font.h", "C++", 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6, -16
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\freetype.h", "C++", 0, 0, 0, -67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29, -19, -115
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\include\_pygame.h", "C++", 0, 0, 0, -322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -503, -125, -950
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\include\bitmask.h", "C++", 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -66, -26, -172
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\include\pgcompat.h", "C++", 0, 0, 0, -75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -25, -103
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\include\pgimport.h", "C++", 0, 0, 0, -38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, -15, -68
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\include\pgplatform.h", "C++", 0, 0, 0, -63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -12, -84
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\include\pygame.h", "C++", 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, -4, -35
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\include\pygame_bufferproxy.h", "C++", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, -15, -57
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\include\pygame_font.h", "C++", 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -22, -12, -51
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\include\pygame_freetype.h", "C++", 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, -10, -43
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\include\pygame_mask.h", "C++", 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -12, -46
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\include\pygame_mixer.h", "C++", 0, 0, 0, -31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -21, -20, -72
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\include\sse2neon.h", "C++", 0, 0, 0, -3277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2410, -517, -6204
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\mask.h", "C++", 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -8
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\mixer.h", "C++", 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5, -15
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\palette.h", "C++", 0, 0, 0, -93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, -6, -124
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\pgarrinter.h", "C++", 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -5, -27
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\pgbufferproxy.h", "C++", 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -8
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\pgcompat.h", "C++", 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -8, -28
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\pgopengl.h", "C++", 0, 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -5, -21
"c:\Users\Ravi\Desktop\College_project\myenv\Include\site\python3.11\pygame\pgplatform.h", "C++", 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -5, -24
