"filename", "language", "Python", "pip requirements", "Markdown", "comment", "blank", "total"
"c:\Users\Ravi\Desktop\College_project\README.md", "Markdown", 0, 0, 7, 0, 0, 7
"c:\Users\Ravi\Desktop\College_project\main.py", "Python", 10, 0, 0, 0, 2, 12
"c:\Users\Ravi\Desktop\College_project\requirements.txt", "pip requirements", 0, 199, 0, 0, 0, 199
"c:\Users\Ravi\Desktop\College_project\ui\Home.py", "Python", 129, 0, 0, 1, 30, 160
"c:\Users\Ravi\Desktop\College_project\ui\MainWindow.py", "Python", 97, 0, 0, 14, 23, 134
"c:\Users\Ravi\Desktop\College_project\ui\STT.py", "Python", 330, 0, 0, 12, 61, 403
"c:\Users\Ravi\Desktop\College_project\ui\TTS.py", "Python", 611, 0, 0, 47, 141, 799
"c:\Users\Ravi\Desktop\College_project\ui\learning.py", "Python", 195, 0, 0, 13, 34, 242
"c:\Users\Ravi\Desktop\College_project\ui\lesson_ui.py", "Python", 168, 0, 0, 5, 35, 208
"c:\Users\Ravi\Desktop\College_project\ui\lessons\advanced_mode.py", "Python", 12, 0, 0, 0, 5, 17
"c:\Users\Ravi\Desktop\College_project\ui\lessons\beginner_mode.py", "Python", 544, 0, 0, 30, 63, 637
"c:\Users\Ravi\Desktop\College_project\ui\lessons\intermediate_mode.py", "Python", 840, 0, 0, 55, 125, 1020
"c:\Users\Ravi\Desktop\College_project\ui\loading_spinner.py", "Python", 43, 0, 0, 1, 11, 55
"Total", "-", 2979, 199, 7, 178, 530, 3893
