"filename", "language", "Python", "Markdown", "pip requirements", "Ini", "comment", "blank", "total"
"c:\Users\Ravi\Desktop\College_project\README.md", "Markdown", 0, 7, 0, 0, 0, 0, 7
"c:\Users\Ravi\Desktop\College_project\assets\days_videos\desktop.ini", "Ini", 0, 0, 0, 8, 0, 1, 9
"c:\Users\Ravi\Desktop\College_project\assets\months_videos\desktop.ini", "Ini", 0, 0, 0, 2, 0, 1, 3
"c:\Users\Ravi\Desktop\College_project\main.py", "Python", 10, 0, 0, 0, 0, 2, 12
"c:\Users\Ravi\Desktop\College_project\requirements.txt", "pip requirements", 0, 0, 199, 0, 0, 0, 199
"c:\Users\Ravi\Desktop\College_project\ui\Home.py", "Python", 129, 0, 0, 0, 1, 30, 160
"c:\Users\Ravi\Desktop\College_project\ui\MainWindow.py", "Python", 97, 0, 0, 0, 14, 23, 134
"c:\Users\Ravi\Desktop\College_project\ui\STT.py", "Python", 330, 0, 0, 0, 12, 61, 403
"c:\Users\Ravi\Desktop\College_project\ui\TTS.py", "Python", 607, 0, 0, 0, 51, 141, 799
"c:\Users\Ravi\Desktop\College_project\ui\alphabet_learning.py", "Python", 329, 0, 0, 0, 15, 58, 402
"c:\Users\Ravi\Desktop\College_project\ui\colors_learning.py", "Python", 252, 0, 0, 0, 13, 45, 310
"c:\Users\Ravi\Desktop\College_project\ui\days_learning.py", "Python", 266, 0, 0, 0, 20, 47, 333
"c:\Users\Ravi\Desktop\College_project\ui\greetings_learning.py", "Python", 265, 0, 0, 0, 18, 50, 333
"c:\Users\Ravi\Desktop\College_project\ui\learning.py", "Python", 243, 0, 0, 0, 16, 47, 306
"c:\Users\Ravi\Desktop\College_project\ui\lesson_ui.py", "Python", 168, 0, 0, 0, 5, 35, 208
"c:\Users\Ravi\Desktop\College_project\ui\lessons\advanced_mode.py", "Python", 12, 0, 0, 0, 0, 5, 17
"c:\Users\Ravi\Desktop\College_project\ui\lessons\beginner_mode.py", "Python", 544, 0, 0, 0, 30, 63, 637
"c:\Users\Ravi\Desktop\College_project\ui\lessons\intermediate_mode.py", "Python", 840, 0, 0, 0, 55, 125, 1020
"c:\Users\Ravi\Desktop\College_project\ui\loading_spinner.py", "Python", 43, 0, 0, 0, 1, 11, 55
"c:\Users\Ravi\Desktop\College_project\ui\months_learning.py", "Python", 266, 0, 0, 0, 17, 48, 331
"c:\Users\Ravi\Desktop\College_project\ui\numbers_learning.py", "Python", 256, 0, 0, 0, 17, 47, 320
"Total", "-", 4657, 7, 199, 10, 285, 840, 5998
